"","Material.Type","n","Mean","Median","SE","CI_Lower","CI_Upper","Min","Max"
"1","cloth",9,0.000397435073247887,0.000416,7.78276978611758e-05,0.000217964080146595,0.000576906066349179,0.00010215903524306,0.000739893311123684
"2","concrete",7,0.00127536520901029,0.001623,0.000406162634927536,0.000281521044113833,0.00226920937390674,1e-04,0.002513
"3","metal",47,0.0025929870017777,0.002513,0.000219144951012204,0.00215187109435982,0.00303410290919558,1e-04,0.00939361017441423
"4","plastic",112,0.00503373744639013,0.00200431581278879,0.00124455495745126,0.00256756871535195,0.00749990617742831,1e-05,0.122685634546129
"5","unknown",301,0.00172966589523274,0.00019767140020106,0.000466557436409626,0.000811526111195988,0.0026478056792695,1e-05,0.0845477434046847
"6","wood",49,0.00253660747472176,0.002513,0.000555832375178151,0.00141903158177573,0.00365418336766778,1e-05,0.0255267807589779
