"","CARD","DROM","FISH","GLRH","HCOR","MTHR","PAGR","PLMN","POLY","XNTH","BIVL","SCOR","AMPH","OPHR","GAST","SIPN","ECHN","DOME","CHIT","STOM","PALN"
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"plastic",0.449788601881679,0.266710527796432,5.86850920469954,0.571701646302074,0.1537497274619,11.8034377424766,0.719821694535831,0.157297697324458,0.134256387014133,1.5950949279794,0.162205990638753,0.0936878975737088,0.573610948718487,0.00308071465307336,2.61251806216971,0.5300879439996,0.810764104233359,4.15740242936389,0.0975198304233658,0.0207652996645713,8.11508860768748
"glass",0.00215128086690441,0.281765467221355,0.751615760751427,2.68345863426796,1.63882121610281,3.67594961403483e-05,0.00536138967677857,1.01492248469921,0.0255833793410432,2.18626698125023,0.773114397552376,2.63940602748663,1.05112982897683,0.368167144317646,5.32769342291098,0.0358880069942256,0.429910658132275,1.62259267677088,1.27261026078239,2.57497728388193,0.143267054504443
"metal",3.6191135084552,0.0355864135447366,11.1736915737777,0.624835420946162,0.375892525272249,0.502434829637807,0.0278529021076892,3.16873842697187,0.157884344151242,0.0863180110945478,0.543493507152775,0.200547983969123,4.13662562908509,8.19216313290395,4.13524576414863,5.18919241413492,1.79811347037036,0.000689301459793956,2.56962261815391,2.7935395467195,0.000328143299356487
"wood",0.024347754961866,0.410924397294156,0.000133749939459804,2.28137854127885,0.150367622163557,1.03882666127747,6.07202594378926,0.0286835148794249,0.282897814210671,0.0112276173430459,0.0143142874175766,0.0294807762526617,0.0179411234636695,0.00687136761024476,1.97185451517347,9.48542415768472e-06,2.75649412648439,4.897217787736e-06,6.78935839348967,3.39846812923377,3.61032531026595e-06
"cloth",0.558075519891965,0.267525206972346,0.00117816329380815,2.57608436728839,0.81047038522378,0.332592669275172,1.41315076976933,0.023806149639968,0.0281190351399516,0.53949561598985,0.0308113587552441,10.0689356418006,0.000179130397222504,0.155000056554847,0.742196570281912,0.00971100748130826,4.87523038014587,1.59042116854025e-05,0.0133034567241159,5.33580280430712e-05,5.64936476132871e-06
"mixed",2.24765606159945,2.78744351908871,9.16080568238442e-05,16.6906841664559,2.3799671308208,17.2685767931592,0.449044757479271,0.00064876855828988,0.0535516337209856,0.0105179977088525,0.0219270347435696,1.13390474231614,0.00110431427753932,4.41143263614995,0.0504448969611602,1.54891717683014e-05,0.0793097911363505,5.80699143437613e-07,0.0034022705024066,0.000787056857700641,3.94267478704968e-05
"other",16.3532185100628,3.35108189811209,0.000125407459453442,5.54901014737652e-05,0.336859243021948,4.38378018745978,0.0086480484661493,0.000164875310996404,5.25073557012431,7.44534157682552,15.3817555571982,0.43302567079165,7.24009546537729e-07,0.193335793618559,1.77432282453881,-5.50149909863684e-05,0.000574925524023939,7.72630012413345e-07,0.00158316243921686,0.000188184045151196,6.14407325016941e-08
