"","Material.Type","n","Mean","Median","SE","CI_Lower","CI_Upper","Min","Max"
"1","cloth",9,0.397435073247887,0.416,0.0778276978611758,0.217964080146595,0.576906066349179,0.10215903524306,0.739893311123684
"2","concrete",7,3.48382836970954,1.623,2.43995243784461,-2.48652016668249,9.45417690610158,0.1,17.9722421248948
"3","metal",47,6.11993149646517,2.513,0.911979884251393,4.28421120115249,7.95565179177785,0.1,24.426088539
"4","plastic",112,9.2828285726192,2.00431581278879,1.76631967107661,5.78274823004631,12.7829089151921,0.01,128.845660026222
"5","unknown",301,1.88169091955555,0.200194295348936,0.473088143362385,0.950699337640799,2.81268250147031,0.01,84.5477434046847
"6","wood",49,4.17328975937144,2.513,0.814840876009135,2.5349423721345,5.81163714660838,0.01,25.977105413368
