"","Material.Type","n","Mean","Median","SE","CI_Lower","CI_Upper","Min","Max"
"1","cloth",9,0.397435073247887,0.416,0.0778276978611758,0.217964080146595,0.576906066349179,0.10215903524306,0.739893311123684
"2","concrete",7,1.27536520901029,1.623,0.406162634927536,0.281521044113833,2.26920937390674,0.1,2.513
"3","metal",47,2.5929870017777,2.513,0.219144951012204,2.15187109435982,3.03410290919558,0.1,9.39361017441423
"4","plastic",112,5.03373744639013,2.00431581278879,1.24455495745126,2.56756871535195,7.49990617742831,0.01,122.685634546129
"5","unknown",301,1.72966589523274,0.19767140020106,0.466557436409626,0.811526111195988,2.6478056792695,0.01,84.5477434046847
"6","wood",49,2.53660747472176,2.513,0.555832375178151,1.41903158177573,3.65418336766778,0.01,25.5267807589779
